x,y,pred,rss,tss,,
0.753929464,0.048628268,0.621765629,0.328486435,0.18456387,,
0.300164024,0.715830121,0.247545271,0.219290701,0.512412762,,
0.644601743,0.806687353,0.531603057,0.07567137,0.650744486,,
0.079399331,0.482603281,0.065480628,0.173991308,0.232905927,,
0.576572942,0.880547726,0.475499705,0.164063899,0.775364297,,
0.75412446,0.854821343,0.621926442,0.054240035,0.730719528,,
0.118689358,0.310643971,0.097883114,0.045267182,0.096499677,,
0.732366355,0.484723723,0.603982533,0.014222664,0.234957088,,
0.30983385,0.383929812,0.255519976,0.016489086,0.1474021,,
0.647127071,0.870043626,0.533685696,0.113136657,0.756975911,,
0.633252147,0.732296917,0.522243045,0.044122629,0.536258775,,
0.181857817,0.196385707,0.149978142,0.002153662,0.038567346,,
0.991840211,0.384252645,0.817970622,0.188111284,0.147650095,,
0.753662749,0.302064608,0.621545669,0.102068149,0.091243027,,
0.053597106,0.054161522,0.044201533,9.92014E-05,0.00293347,,
0.091866831,0.408462049,0.075762576,0.110688939,0.166841245,,
0.335615811,0.135044169,0.276782359,0.020089715,0.018236928,,
0.879770574,0.291181105,0.725546793,0.188673551,0.084786436,,
0.311258049,0.628252747,0.256694513,0.138055521,0.394701514,,
0.579540353,0.525481373,0.477946929,0.002259523,0.276130674,,
0.477774176,0.36075409,0.394020363,0.001106645,0.130143514,,
0.487399105,0.596630284,0.401958042,0.037897282,0.355967695,,
0.809262718,0.302112589,0.667398963,0.133434135,0.091272016,,
0.07268141,0.67281998,0.059940359,0.37562143,0.452686725,,
0.465090716,0.203972144,0.383560313,0.03225191,0.041604636,,
0.566502215,0.861451766,0.467194377,0.155438889,0.742099144,,
0.305460379,0.410179106,0.251913174,0.025048105,0.168246899,,
0.169724948,0.336000254,0.139972165,0.038427012,0.112896171,,
0.131918269,0.326823229,0.108792996,0.047537182,0.106813423,,
0.441714691,0.780331714,0.364282106,0.173097276,0.608917584,,
,,RSS=,3.021041377,,TSS,8.890542963
,mean,,,,,
,0.478237241,,,,,
,,,,,,
,,,R^2=,0.660196077,,
